2025-05-04 18:07:33,077 - flashscore_scraper - INFO - Scraper initialized
2025-05-04 18:07:45,261 - flashscore_scraper - INFO - Found 0 fixtures for league: https://www.flashscore.com/football/england/premier-league/
2025-05-04 18:07:45,276 - flashscore_scraper - ERROR - No data to save to data/leagues//fixtures_20250504_180745.csv
2025-05-04 18:07:45,279 - flashscore_scraper - ERROR - No data to save to data/leagues//match_details_20250504_180745.csv
2025-05-04 18:10:53,113 - flashscore_scraper - INFO - Scraper initialized
2025-05-04 18:11:10,806 - flashscore_scraper - INFO - Found 0 fixtures for league: https://www.flashscore.com/football/brazil/serie-a-betano/
2025-05-04 18:11:10,819 - flashscore_scraper - ERROR - No data to save to data/leagues//fixtures_20250504_181110.csv
2025-05-04 18:11:10,836 - flashscore_scraper - ERROR - No data to save to data/leagues//match_details_20250504_181110.csv
2025-05-09 03:48:14,966 - INFO - Using ChromeDriver from: C:\Users\M2S30\Documents\GitHub\flashscore\drivers\chromedriver.exe
2025-05-09 03:48:23,000 - INFO - Chrome WebDriver initialized successfully
2025-05-09 03:48:23,033 - INFO - Accessing matches for date: 20250509
2025-05-09 03:50:27,220 - ERROR - Error getting match IDs: HTTPConnectionPool(host='localhost', port=52449): Read timed out. (read timeout=120)
2025-05-09 03:50:56,091 - INFO - Using ChromeDriver from: C:\Users\M2S30\Documents\GitHub\flashscore\drivers\chromedriver.exe
2025-05-09 03:51:00,924 - INFO - Chrome WebDriver initialized successfully
2025-05-09 03:51:00,964 - INFO - Accessing matches for date: 20250509
2025-05-09 03:51:38,726 - INFO - Handled GDPR consent
2025-05-09 03:52:06,693 - INFO - Found match: {'id': '2JcmOYAk', 'teams': [], 'score': '-', 'time': '23:15\nFRO'}
2025-05-09 03:52:06,966 - INFO - Found match: {'id': 'OYodMCu2', 'teams': [], 'score': '-', 'time': '23:30\nFRO'}
2025-05-09 03:52:07,194 - INFO - Found match: {'id': 't0iLvkW9', 'teams': [], 'score': '-', 'time': '05:15\nFRO'}
2025-05-09 03:52:07,405 - INFO - Found match: {'id': 'xSpUxT0M', 'teams': [], 'score': '-', 'time': '21:15\nFRO'}
2025-05-09 03:52:07,617 - INFO - Found match: {'id': '6sy0X6Oq', 'teams': [], 'score': '-', 'time': '23:30\nFRO'}
2025-05-09 03:52:07,839 - INFO - Found match: {'id': 'tpuL7OO0', 'teams': [], 'score': '-', 'time': '04:30'}
2025-05-09 03:52:08,027 - INFO - Found match: {'id': 'xCYT52gD', 'teams': [], 'score': '-', 'time': '05:30'}
2025-05-09 03:52:08,229 - INFO - Found match: {'id': 'U5LFT5oK', 'teams': [], 'score': '-', 'time': '05:30'}
2025-05-09 03:52:08,435 - INFO - Found match: {'id': '6HFV7ogR', 'teams': [], 'score': '-', 'time': '23:15'}
2025-05-09 03:52:08,635 - INFO - Found match: {'id': '6599joc2', 'teams': [], 'score': '-', 'time': '12:30'}
2025-05-09 03:52:08,833 - INFO - Found match: {'id': 'Actk8UaB', 'teams': [], 'score': '-', 'time': '11:00'}
2025-05-09 03:52:09,028 - INFO - Found match: {'id': 'INqc68UN', 'teams': [], 'score': '-', 'time': '11:00'}
